date,volume,value,value/volume
11/1/2023,600481,400345332,666.7077426
10/1/2023,635102,406762427,640.4678729
9/1/2023,605410,377783375,624.0124461
8/1/2023,921443,546405796,592.9892527
7/1/2023,660738,362660136,548.8713166
6/1/2023,617998,340769813,551.4092489
5/1/2023,724609,390577772,539.0186597
4/1/2023,1043499,545851206,523.0970092
3/1/2023,961608,508966676,529.287065
2/1/2023,534607,286171403,535.2930339
1/1/2023,359310,186599109,519.3262336
12/1/2022,434611,220260396,506.7989443
11/1/2022,587813,289864870,493.1242929
10/1/2022,713546,341064277,477.9849891
9/1/2022,583203,275312365,472.0695281
8/1/2022,718081,339556665,472.8668005
7/1/2022,582635,285284878,489.645967
6/1/2022,726308,354419928,487.9746994
5/1/2022,710371,347138729,488.6724388
4/1/2022,555769,275945643,496.5113977
3/1/2022,531389,262952980,494.8408416
2/1/2022,468925,223342315,476.285792
1/1/2022,505741,246024471,486.4633696
12/1/2021,490219,253087876,516.275126
11/1/2021,566358,296404357,523.351585
10/1/2021,618162,321941327,520.8041371
9/1/2021,593624,293149203,493.8297693
8/1/2021,499033,243306458,487.555849
7/1/2021,464792,240153601,516.6904788
6/1/2021,436140,241611768,553.9775485
5/1/2021,626750,339051675,540.9679697
4/1/2021,782159,424217488,542.3673294
3/1/2021,539040,290833391,539.5395351
2/1/2021,308472,167710330,543.6808851
1/1/2021,347774,191882061,551.743549
12/1/2020,546622,291801357,533.8265877
11/1/2020,351515,188968118,537.5819467
10/1/2020,362930,192011985,529.0606591
9/1/2020,385429,195804248,508.0163869
8/1/2020,605566,304326561,502.5489559
7/1/2020,479633,232144971,484.0054187
6/1/2020,450407,227256297,504.557649
5/1/2020,953950,492544342,516.3209204
4/1/2020,510197,254373965,498.5798917
3/1/2020,591407,271514122,459.0985937
2/1/2020,532836,238127881,446.9065172
1/1/2020,410855,196457230,478.1668228
12/1/2019,499573,227974816,456.3393458
11/1/2019,365352,168090438,460.0780562
10/1/2019,450853,208570197,462.6124191
9/1/2019,479363,210939329,440.0409064
8/1/2019,602349,269529103,447.4633526
7/1/2019,598619,261676694,437.13396
6/1/2019,599217,265433783,442.9677112
5/1/2019,678681,293886391,433.0258118
4/1/2019,693432,287505845,414.6128892
3/1/2019,693742,298401134,430.1327208
2/1/2019,274765,116621003,424.439077
1/1/2019,437552,195310352,446.3706074
10/1/2018,362838,187432840,516.5744492
9/1/2018,360188,173935881,482.9030423
8/1/2018,606500,296658886,489.1325408
7/1/2018,444235,221721828,499.1093183
6/1/2018,537948,281034695,522.4198157
5/1/2018,763707,391381662,512.476201
4/1/2018,721379,364372361,505.1053066
3/1/2018,658818,338438665,513.7058565
2/1/2018,339706,168887290,497.1572183
1/1/2018,492077,239251931,486.208319
12/1/2017,380640,181885663,477.8416956
11/1/2017,367615,176946999,481.3378099
10/1/2017,483029,245810618,508.8941202
9/1/2017,496913,227688169,458.2052975
8/1/2017,646239,280839132,434.5747193
7/1/2017,580588,246901951,425.2618914
6/1/2017,535023,236607199,442.2374347
5/1/2017,558898,248798830,445.1596356
4/1/2017,533574,249554525,467.7036831
3/1/2017,503413,226674230,450.2748836
2/1/2017,399197,169105695,423.6146439
1/1/2017,334249,142944910,427.6599481
12/1/2016,364718,162452055,445.4182547
11/1/2016,318007,140742227,442.5758773
10/1/2016,340890,154803993,454.1171434
9/1/2016,481555,215633252,447.7853039
8/1/2016,417924,185450848,443.7429963
7/1/2016,281032,125121321,445.2209037
6/1/2016,323630,149213827,461.0630257
5/1/2016,303634,143048596,471.121798
4/1/2016,453658,212531266,468.4834523
3/1/2016,595192,266600493,447.9235154
2/1/2016,437647,185676453,424.2607695
1/1/2016,491422,217702941,443.0060946
12/1/2015,520775,221292292,424.9287927
11/1/2015,699421,297374648,425.1726042
10/1/2015,851128,349733129,410.9054443
9/1/2015,462770,189583995,409.6721806
8/1/2015,452121,201203050,445.0203596
7/1/2015,603822,252850766,418.7505026
6/1/2015,583958,242221105,414.791997
5/1/2015,553937,238478763,430.5160388
4/1/2015,719589,313434577,435.5744418
3/1/2015,641088,269301837,420.0700013
2/1/2015,170488,74327467,435.9689069
1/1/2015,316117,149071977,471.5721616
12/1/2014,305212,144230633,472.5588542
11/1/2014,449057,223840067,498.4669363
10/1/2014,597389,288833349,483.492915
9/1/2014,495478,242750074,489.9310847
8/1/2014,647380,296429971,457.8917653
7/1/2014,579405,266269235,459.5563293
6/1/2014,539454,243428925,451.25057
5/1/2014,663948,292339547,440.3048838
4/1/2014,645710,288513417,446.8157795
3/1/2014,622635,280068133,449.811098
2/1/2014,421041,194466162,461.8698939
1/1/2014,364757,174003097,477.0384036
12/1/2013,385132,185958739,482.8441651
11/1/2013,362629,168604777,464.9511677
10/1/2013,538055,239858199,445.7875106
9/1/2013,454433,203376702,447.5394657
8/1/2013,650021,283887021,436.7351532
7/1/2013,641158,271288288,423.122363
6/1/2013,639892,275402957,430.3897486
5/1/2013,728176,322879770,443.4089698
4/1/2013,648836,288769964,445.0584801
3/1/2013,741812,323692514,436.353839
2/1/2013,352460,155659334,441.6368779
1/1/2013,444468,203303049,457.4076176
12/1/2012,516853,244397630,472.8571373
11/1/2012,600514,291955399,486.175841
10/1/2012,656561,311691860,474.734046
9/1/2012,673615,303016666,449.8365773
8/1/2012,815983,365780779,448.2700975
7/1/2012,921544,399738964,433.7708932
6/1/2012,876602,383311464,437.2696663
5/1/2012,742434,333258653,448.8731025
4/1/2012,873914,380759484,435.6944551
3/1/2012,635290,294072090,462.894253
2/1/2012,446960,218753021,489.4241565
1/1/2012,255031,146017284,572.5471962
12/1/2011,324860,193178557,594.6517177
11/1/2011,403287,241199206,598.0832658
10/1/2011,449890,256664805,570.5056903
9/1/2011,454250,253170485,557.3373363
8/1/2011,763317,394645021,517.0132736
7/1/2011,652421,323987110,496.5920931
6/1/2011,698907,337111152,482.3405002
5/1/2011,643697,314238732,488.1780279
4/1/2011,799606,375955155,470.1755052
3/1/2011,891757,446064867,500.2089885
2/1/2011,493872,241045820,488.0734684
1/1/2011,536292,279545629,521.2563846
12/1/2010,499726,259835357,519.9556497
11/1/2010,501645,246329414,491.0432956
10/1/2010,504663,233839259,463.3572483
9/1/2010,388167,163834304,422.0716959
8/1/2010,650449,242591849,372.9605995
7/1/2010,875092,366835541,419.1965428
6/1/2010,547318,235459228,430.2055259
5/1/2010,720396,330068830,458.1769332
4/1/2010,758672,378305978,498.6423356
3/1/2010,708770,382124080,539.1369274
2/1/2010,351302,204086149,580.942178
1/1/2010,379979,204550382,538.3202282
